ID,Sex,Age,Ra1,RaLast,TrainingDifficulty,S1,M1,A1,N1,R1,TAD
154,M,20,0.302066296,0.763797267,,48,23,300,17,37,44
155,M,19,0.597795526,0.881927489,,58,29,307,20,47,66
156,M,21,0.875486459,0.912569576,,53,29,333,14,40,63
157,M,19,0.928781079,0.96802729,,52,24,410,12,39,54
158,F,21,0.1543686,0.998243523,,53,24,447,22,43,64
159,M,19,0.770527046,0.960834259,,55,27,250,12,34,56
160,M,20,0.910827574,0.910661078,,45,26,317,16,31,42
161,M,21,0.623150361,0.808611021,,75,33,475,28,44,56
162,M,20,0.850588994,0.719032648,,62,31,244,20,44,47
163,M,20,0.804419757,0.442594564,,62,27,581,19,47,73
164,M,20,0.906058739,0.968739632,,66,29,239,4,40,58
165,M,19,0.547052567,0.866181612,,43,15,211,15,39,38
166,M,19,0.637059604,0.842965224,,67,27,308,15,45,72
167,M,19,0.761327217,0.686807256,,43,19,419,17,37,44
168,F,20,-0.288435303,0.873685463,,56,24,364,14,46,41
169,M,21,0.649270396,0.711183979,,55,28,253,16,43,69
170,M,20,0.766714948,0.944096869,,55,26,365,19,47,52
171,M,20,0.806845788,0.973527101,,43,31,150,15,37,46
172,M,19,0.050021885,0.605640106,,58,27,277,17,40,53
173,M,19,0.16831848,0.941875741,0,46,27,571,22,48,71
174,M,20,0.955191657,0.95932989,,57,34,399,16,42,65
175,M,20,0.198116943,0.932443209,,47,23,324,11,34,41
176,M,21,0.541444172,0.293584496,,58,24,287,10,25,44
177,M,20,0.005079882,-0.276078501,,54,27,383,21,40,57
178,M,22,0.799662029,0.794179686,,65,29,517,18,46,70
179,M,19,-0.367539791,0.633202886,,47,27,173,14,40,46
180,M,22,0.923614313,0.930560249,,52,30,579,13,45,40
181,F,19,0.200511792,0.402931414,,59,25,275,15,47,28
182,M,19,0.841335894,0.834354876,,55,26,296,15,40,59
183,M,21,-0.031981144,0.882453129,,56,25,571,19,44,64
184,M,19,0.941921769,0.968509661,,45,31,203,16,35,33
185,M,21,0.355973878,0.964137813,0,74,31,373,19,48,57
186,M,20,-0.167862847,-0.432699211,,46,28,296,10,40,42
187,F,21,0.085574408,0.526102253,,27,23,315,11,44,44
188,M,22,0.735613248,0.879684469,,41,33,182,9,24,52
189,M,20,0.952730441,0.91710541,,54,21,339,19,47,66
190,M,21,0.897131081,0.853835692,,64,26,306,18,48,52
191,M,19,0.736524287,0.779512877,,56,29,328,18,47,38
192,M,19,0.567262784,0.838058404,,45,25,288,13,39,50
193,M,20,-0.31223534,0.483280057,,54,34,204,24,40,51
194,M,22,0.080961414,0.644976342,,54,25,346,16,39,61
195,F,20,-0.413584702,0.868218603,,47,19,283,21,44,50
196,M,20,0.241159271,0.443799847,,51,27,243,11,34,50
197,M,20,0.863746863,0.871501698,,42,28,218,15,23,30
198,M,19,-0.011028117,0.866436525,,34,26,174,17,32,40
199,F,19,0.237294705,0.946430224,0,68,24,361,17,48,55
200,F,19,-0.227770687,-0.150887626,,56,22,310,15,45,38
201,M,19,0.832477945,0.967452279,,36,27,245,15,37,55
202,M,20,-0.250858944,0.291908488,,55,27,226,18,43,47
203,M,21,0.682250239,0.7854561,0,52,31,385,19,43,65
204,M,21,-0.331714362,0.402268722,,44,27,265,9,37,51
205,M,21,0.826933794,0.93642234,,57,29,268,16,37,72
206,M,21,0.191521302,0.750005785,,56,30,267,11,37,58
207,M,22,0.766483185,0.873762471,,55,23,256,16,45,44
208,M,20,0.262180993,0.952538916,,62,25,404,14,47,62
209,M,19,0.430077317,0.805501039,,56,26,559,22,48,66
210,M,19,0.818326787,0.816944008,,40,23,146,11,32,22
211,M,20,0.290008589,0.925644692,,50,26,301,12,41,48
212,M,19,0.878105826,0.932238057,,36,18,175,11,30,45
213,M,20,0.658428155,0.943432243,,68,28,269,17,34,60
214,M,20,-0.461593007,0.521531271,,46,25,521,26,45,62
215,M,20,0.829236112,0.832751398,,58,30,309,18,37,37
216,M,22,0.729038718,0.881117192,,58,22,525,19,43,69
217,M,18,-0.207271383,0.966614906,,58,26,163,27,38,51
218,M,19,0.831990977,0.960098867,,36,32,174,14,39,57
219,M,21,-0.081407845,0.049833357,,63,32,473,19,47,69
220,M,20,-2.90E-05,-0.085803032,,27,20,378,10,41,46
221,F,19,0.54957671,0.889017434,,50,24,512,17,47,65
222,M,21,0.904512379,0.956644526,,53,27,277,11,34,50
223,F,21,0.004955338,0.583888726,,45,20,211,7,30,28
224,M,20,0.409549809,0.954495857,,67,33,303,19,44,56
225,M,21,-0.099860343,-0.321496744,,71,27,344,19,46,64
226,M,19,0.529112124,0.827526545,,51,27,257,18,48,62
227,M,19,0.877972216,0.885058408,,44,31,184,14,34,51
228,M,20,0.768905276,0.884285219,,64,30,324,22,43,64
229,M,21,0.838407589,0.898315691,,65,24,303,18,39,48
230,M,20,0.899742709,0.963477539,,36,29,193,9,34,56
231,M,21,0.62115708,0.424114052,,52,34,397,23,45,70
232,M,20,0.804468013,0.875749312,,49,27,265,11,32,18
233,M,21,-0.124418118,0.866980713,0,51,34,303,11,40,62
234,M,22,0.380469487,0.922597454,,63,31,283,13,41,64
235,M,20,0.100109163,0.920161177,,65,31,411,14,45,44
236,M,20,0.590056419,0.868335949,,52,19,191,10,41,51
237,M,20,0.377141547,0.629511922,,56,29,347,16,43,50
238,M,19,0.791213654,0.964064537,,62,33,228,18,46,57
239,M,22,0.688137375,0.763632065,0,72,34,399,18,43,68
240,M,19,0.740227145,0.921096822,,55,31,318,16,45,68
241,M,21,0.905457928,0.849131791,,48,20,216,8,43,62
242,M,21,0.670605112,0.872669568,,63,34,567,26,48,55
243,M,20,0.290038328,0.958006452,,38,27,206,21,33,31
244,M,20,0.798454041,0.675058278,,44,25,231,10,30,42
245,M,20,0.947786094,0.966261336,,47,25,360,10,38,54
246,M,18,0.751671679,0.874563794,,34,19,246,10,37,42
247,M,20,0.136356951,0.387665025,,44,27,247,17,39,61
248,M,20,0.380366924,0.938369693,,48,28,251,17,39,56
249,M,20,0.308720819,0.712891222,,54,29,338,22,39,61
250,M,21,0.918008244,0.944238664,,59,31,385,22,43,63
251,M,18,-0.438433688,0.178957295,,52,24,292,20,47,60
252,M,21,0.773607978,0.758025933,,57,23,223,13,43,44
253,M,21,0.203574819,0.956743659,,46,29,314,13,46,61
254,M,20,0.673435198,0.81953084,0,53,22,579,23,47,73
255,M,20,-0.34535891,0.524895771,,51,26,425,11,48,62
256,M,19,0.863295475,0.901981033,,46,33,304,21,47,47
257,M,21,0.766572162,0.93800336,,64,32,248,17,43,62
258,M,19,-0.32390515,0.803367762,,36,20,176,12,26,35
259,F,21,0.631738368,0.536059671,0,58,28,418,15,47,56
260,M,21,-0.036263276,0.962664952,,56,30,388,27,46,60
261,M,19,-0.328001048,0.924189556,,51,23,257,15,41,43
262,M,20,0.812440409,0.917215216,,66,33,437,16,46,59
263,M,23,0.873523936,0.917666319,,64,25,307,17,44,59
264,M,21,0.759592157,0.916286467,,69,31,296,10,33,56
265,M,21,0.947205539,0.971357245,,65,24,339,11,37,65
266,M,19,0.336955503,0.648070174,,59,30,269,14,38,37
267,M,19,0.564178355,0.955848753,,70,32,267,18,44,55
268,M,20,0.907864502,0.934276188,,53,23,284,12,43,64
269,M,21,0.766927484,0.824708736,0,52,28,307,19,41,59
270,M,20,0.562421936,0.445568688,,68,26,300,17,41,51
271,M,19,0.815498246,0.895034934,,45,33,468,13,38,53
272,F,19,0.802662717,0.831643776,,45,22,311,10,24,34
273,M,19,0.149789935,0.77890619,,53,21,298,12,36,42
274,M,20,0.119843065,0.906660414,,70,25,515,21,44,51
275,M,20,0.797612266,0.970741753,,41,28,180,13,29,32
276,M,20,-0.118369924,0.173454122,,53,27,310,13,34,63
277,M,19,0.954071528,0.958794376,,54,21,239,15,35,53
278,F,19,-0.078291809,0.461865006,,56,22,337,13,45,30
279,M,19,0.573045466,0.852971077,,61,31,268,22,42,42
280,M,19,0.951343457,0.931940892,,57,26,571,15,48,58
281,M,19,0.61333876,0.853156913,,63,28,419,12,47,57
282,M,21,-0.560654157,0.95657126,,67,29,388,18,40,60
283,M,22,0.420729389,0.931157576,,54,23,419,13,47,49
284,M,18,0.675019629,0.882820811,,48,27,278,12,36,50
285,M,21,0.935648707,0.899075406,,61,32,341,19,45,72
286,M,20,-0.315329395,-0.325959405,,29,22,226,5,30,31
287,F,21,0.269283935,0.66382938,,41,30,222,19,33,45
288,M,20,0.350617234,0.128139405,,30,17,190,8,25,31
289,M,21,0.839418369,0.80812586,,58,26,190,27,38,60
290,M,19,-0.359904456,0.040164281,,61,26,270,13,23,32
291,M,19,0.760076572,0.731257416,,55,27,362,16,24,60
292,M,20,0.715148704,0.514369224,,68,33,347,18,48,54
293,M,19,0.923119973,0.872790121,,50,27,308,11,45,50
294,M,22,0.873450878,0.961646675,,67,25,581,13,46,42
295,M,23,0.691914856,0.828490509,0,63,27,327,15,46,55
296,M,18,-0.191070487,-0.136561181,,25,22,270,14,35,45
297,M,19,0.05639886,0.973236003,,53,27,365,17,48,58
298,M,22,-0.168640822,0.066051796,,55,26,535,19,48,54
299,M,22,0.653590264,0.96744942,,70,27,418,21,48,62
300,M,21,0.890542455,0.969837792,0,69,28,579,23,47,66
301,M,21,0.932848889,0.967236373,,34,30,181,13,39,48
302,M,20,0.858354757,0.899826798,,50,24,229,14,28,33
303,M,21,0.049230197,0.245078172,,57,27,271,8,35,40
304,M,21,0.743328646,0.120552236,1,55,30,527,23,48,76
305,M,19,0.5924971,0.52387608,,72,26,283,29,44,53
