"subject"	"ppn"	"age"	"sex"	"hyp"	"cdt"	"man"	"iat"	"tskor"	"exo"	"rdtm"	"mnch"	"Npls"	"Nwon"	"Ngoo"	"Ncor"	"Lpls"	"Lwon"	"Lgoo"	"Lcor"	"mnch2"	"blv"	"hypn"	"x"	"bl1"	"bl2"	"Lgbl"	"Ngbl"	"comp"	"incomp"	"c"	"startblock"	"D4"	"D4_odd"	"D4_even"
"33"	33	33	19	"m"	1	2	0	2	1	2	276729	1	8	8	8	8	0	0	0	0	1	2	4	NA	1.27579433324621	1.34260944136348	1.34260944136348	1.27579433324621	1.27579433324621	1.34260944136348	-0.0668151081172761	"2"	-0.0984	-0.4018	0.2799
"34"	34	34	20	"v"	2	2	1	1	1	2	169483	1	3	3	2	1	3	3	2	4	2	5	-1	NA	1.77511089063239	1.85494711727627	1.77511089063239	1.85494711727627	1.85494711727627	1.77511089063239	0.079836226643883	"1"	-0.1782	-0.1177	-0.2399
"35"	35	35	21	"v"	1	2	1	1	2	2	313307	1	1	1	2	1	7	6	6	7	1	3	6	NA	1.84307270751159	1.82244989362214	1.84307270751159	1.82244989362214	1.82244989362214	1.84307270751159	-0.0206228138894535	"1"	0.0436	0.2341	-0.2361
"36"	36	36	23	"m"	2	1	1	1	2	2	357813	2	3	3	4	4	2	2	2	0	1	4	-1	NA	1.38006896339079	1.21589352581304	1.38006896339079	1.21589352581304	1.38006896339079	1.21589352581304	0.16417543757776	"1"	0.5343	0.573	0.577
"37"	37	37	25	"m"	1	1	0	1	1	2	361888	2	0	0	0	0	7	7	7	8	2	6	3	NA	1.65148361406733	1.36873814556363	1.65148361406733	1.36873814556363	1.65148361406733	1.36873814556363	0.2827454685037	"1"	0.7963	0.8628	0.7227
"38"	38	38	20	"v"	2	2	0	1	1	2	295580	1	6	6	7	7	1	2	2	2	1	5	-1	NA	1.32468459304929	1.70051428093417	1.32468459304929	1.70051428093417	1.70051428093417	1.32468459304929	0.375829687884883	"1"	-0.7143	-0.7093	-0.867
"39"	39	39	23	"v"	1	2	0	1	2	2	264376	1	7	8	7	8	3	2	2	2	1	7	8	NA	1.51669143863745	1.86768975882577	1.51669143863745	1.86768975882577	1.86768975882577	1.51669143863745	0.350998320188321	"1"	-0.5566	-0.4694	-0.6494
"40"	40	40	22	"v"	2	1	0	1	2	2	241386	2	0	1	2	2	6	5	6	4	2	5	-1	NA	1.40529122802573	1.15999174347131	1.40529122802573	1.15999174347131	1.40529122802573	1.15999174347131	0.245299484554425	"1"	1.1921	0.9128	1.4629
"41"	41	41	18	"m"	1	1	1	1	2	2	212723	2	8	7	6	8	1	2	2	1	1	5	7	NA	1.29551854711273	1.57470611162571	1.29551854711273	1.57470611162571	1.29551854711273	1.57470611162571	-0.279187564512987	"1"	-0.6135	-0.8414	-0.2883
"42"	42	42	20	"v"	2	2	1	1	2	2	207910	1	2	3	3	3	5	4	5	4	2	6	-1	NA	1.83572795895213	1.86339382475961	1.83572795895213	1.86339382475961	1.86339382475961	1.83572795895213	0.0276658658074818	"1"	-0.2002	-0.3013	-0.1121
