source,precompshenav,condinsp,godcontent,DBIG_1,DBIG_2,DBIG_3,DBIG_4,DBIG_5,DBIG_6,DBIG_7,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_34,contrast,contrast2,compbigd,comprati,compintu,Zprecompshenav,Zcomprati,Zcompintu,int1,int2,int3,int4,int5,int6,hirati,lorati,hiint4,loint4
2,1.5,1,0,1,1,2,2,3,1,2,4,2,2,2,2,3,1,2,2,2,2,4,1,2,4,2,3,3,4,4,4,4,4,4,4,3,4,4,4,2,3,2,0,1.71428571428571,5.31578947368421,3.83333333333333,-1.39640421330285,.649692496339919,.577506109361294,-2.7928084266057,0,1.15501221872259,1.29938499267984,0,0,-.350307503660081,1.64969249633992,-.700615007320161,3.29938499267984
2,7,2,0,1,2,3,2,2,2,1,4,2,2,2,2,3,2,2,2,2,2,4,2,2,4,2,4,4,4,4,4,4,4,2,4,2,2,4,4,2,2,-1,1,1.85714285714286,5.21052631578947,3.5,.501871842631831,.473680186574522,-.00716508820547745,-.501871842631831,.501871842631831,.00716508820547745,-.473680186574522,-.00716508820547745,.473680186574522,-.526319813425478,1.47368018657452,.526319813425478,-1.47368018657452
2,10,3,1,5,4,1,1,1,1,5,4,3,4,4,5,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,5,3,4,3,4,4,4,3,4,4,4,-1,-1,2.57142857142857,4.10526315789474,3.83333333333333,1.53729514586893,-1.37444906596214,.577506109361294,-1.53729514586893,-1.53729514586893,-.577506109361294,1.37444906596214,-.577506109361294,1.37444906596214,-2.37444906596214,-.374449065962142,2.37444906596214,.374449065962142
2,10,3,0,3,5,5,5,5,5,3,2,2,2,2,2,4,2,3,2,4,2,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,4,3,4,3,2,-1,-1,4.42857142857143,4.94736842105263,3.75,1.53729514586893,.0336494121610314,.431338309969601,-1.53729514586893,-1.53729514586893,-.431338309969601,-.0336494121610314,-.431338309969601,-.0336494121610314,-.966350587838969,1.03364941216103,.966350587838969,-1.03364941216103
2,8,1,0,3,4,5,5,5,5,5,2,2,3,3,2,2,3,2,3,1,2,2,4,3,3,3,4,3,4,5,5,3,2,4,4,2,4,1,4,3,2,2,0,4.57142857142857,4.36842105263158,3.41666666666667,.847012943710864,-.934418291548651,-.153332887597171,1.69402588742173,0,-.306665775194341,-1.8688365830973,0,0,-1.93441829154865,.065581708451349,-3.8688365830973,.131163416902698
2,5,2,0,1,1,1,5,2,2,1,4,2,2,2,2,4,1,2,4,5,2,3,3,2,2,4,2,3,3,4,3,2,2,2,4,2,4,4,4,4,2,-1,1,1.85714285714286,5.05263157894737,3.08333333333333,-.188410359526235,.209661721926427,-.738004085163941,.188410359526235,-.188410359526235,.738004085163941,-.209661721926427,-.738004085163941,.209661721926427,-.790338278073573,1.20966172192643,.790338278073573,-1.20966172192643
2,6,3,0,2,2,3,3,2,2,1,3,3,3,3,2,3,3,2,3,4,3,3,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,2,4,3,3,-1,-1,2.14285714285714,4.57894736842105,3.66666666666667,.156730741552798,-.582393672017858,.285170510577908,-.156730741552798,-.156730741552798,-.285170510577908,.582393672017858,-.285170510577908,.582393672017858,-1.58239367201786,.417606327982142,1.58239367201786,-.417606327982142
2,6,2,0,2,2,3,4,4,4,5,2,2,2,2,2,3,2,2,2,4,1,2,2,4,3,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,-1,1,3.42857142857143,5.10526315789474,3.83333333333333,.156730741552798,.297667876809126,.577506109361294,-.156730741552798,.156730741552798,-.577506109361294,-.297667876809126,.577506109361294,.297667876809126,-.702332123190874,1.29766787680913,.702332123190874,-1.29766787680913
2,2,2,0,1,1,2,2,2,3,4,4,2,2,2,2,4,2,2,1,4,2,4,4,2,4,3,3,4,4,4,4,4,4,4,5,4,3,4,3,3,2,-1,1,2.14285714285714,5.26315789473684,3.91666666666667,-1.22383366276333,.561686341457221,.723673908752987,1.22383366276333,-1.22383366276333,-.723673908752987,-.561686341457221,.723673908752987,.561686341457221,-.438313658542779,1.56168634145722,.438313658542779,-1.56168634145722
2,6.5,2,0,3,4,3,3,2,2,1,3,2,2,2,2,3,2,2,3,3,1,4,3,2,3,2,3,2,1,3,3,2,4,2,1,2,3,3,2,1,3,-1,1,2.57142857142857,5.15789473684211,2.33333333333333,.329301292092315,.385674031691824,-2.05351427968918,-.329301292092315,.329301292092315,2.05351427968918,-.385674031691824,-2.05351427968918,.385674031691824,-.614325968308176,1.38567403169182,.614325968308176,-1.38567403169182
