cond_all,cond_text,pair_ID,cooperation_rate,role,WK1,WK2,WK3,WK4,WK5,WK6,WK7,WK8,WK9,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,likabe,get_along,close,friends,tasty,age,gender,gender,mean_close
0,separate,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,18,2,female,5.25
0,separate,10,0.15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,21,2,female,5
0,separate,11,0.55,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,4,1.5,19,1,male,4.25
0,separate,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,2,20,1,male,4.75
0,separate,13,0.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,22,2,female,2
0,separate,14,0.3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,3,2,3,4,19,1,male,2.75
0,separate,15,0.9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,4,4,0,29,1,male,4
0,separate,16,0.4,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,6,6,4,6,4,19,2,female,5.5
0,separate,17,0.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,6,19,2,female,3
0,separate,18,0.3,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0, , , , , , , , , 
0,separate,19,0.3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5,5,4,4,3,21,2,female,4.5
0,separate,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,1,19,1,male,4.25
0,separate,21,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,5,3,4,6,22,2,female,4.5
0,separate,22,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0, ,3,2,3,4,21,1,male,2.666666667
0,separate,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,18,2,female,4.5
0,separate,24,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,4,19,2,female,3.25
0,separate,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,5,20,2,female,4.5
0,separate,26,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,20,1,male,2.75
1,shared,27,0.45,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,3,4,3,2,3,20,2,female,3
1,shared,28,0.75,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,4,4,4,4,5,20,1,male,4
1,shared,29,0.3,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6,4,4,4,19,2,female,5
1,shared,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,4,19,1,male,4.5
1,shared,31,0.35,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,5,5,5,5,5,25,1,male,5
1,shared,32,0.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,6,5,6,6,22,2,female,5.5
1,shared,33,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,3,20,1,male,5
1,shared,34,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,5,3,3,6,18,1,male,3.75
1,shared,35,0.35,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,3,3,2,2,5,20,2,female,2.5
1,shared,36,0.75,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,4,5,4,5,4,19,2,female,4.5
1,shared,37,0.6,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,4,5,4,5,6,18,1,male,4.5
1,shared,38,0.25,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,3,4,21,2,female,3.75
